https://gh-proxy.com/https://raw.githubusercontent.com/qinvision/TV/refs/heads/main/TV.txt
████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████














特别节目,#genre#
CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
9.3阅兵直播,http://jackgao.top:35455/bilibili/8178490
9.3阅兵直播1,http://jackgao.top:35455/douyin/870887192950
9.3阅兵直播2,http://jackgao.top:35455/bilibili/22142427
9.3阅兵直播3,http://jackgao.top:35455/douyin/456815963645

█████████████████████████████████████████████
📺长沙电信,#genre#
█████████████████████████████████████████████


CCTV1-综合,http://218.77.62.245:10999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://218.77.62.245:10999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://218.77.62.245:10999/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://218.77.62.245:10999/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://218.77.62.245:10999/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://218.77.62.245:10999/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://218.77.62.245:10999/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://218.77.62.245:10999/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://218.77.62.245:10999/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://218.77.62.245:10999/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://218.77.62.245:10999/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://218.77.62.245:10999/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://218.77.62.245:10999/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://218.77.62.245:10999/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://218.77.62.245:10999/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://218.77.62.245:10999/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
IPTV体育,http://218.77.62.245:10999/tsfile/live/0131_2.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://218.77.62.245:10999/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://218.77.62.245:10999/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://218.77.62.245:10999/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://218.77.62.245:10999/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://218.77.62.245:10999/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://218.77.62.245:10999/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://218.77.62.245:10999/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://218.77.62.245:10999/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://218.77.62.245:10999/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://218.77.62.245:10999/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://218.77.62.245:10999/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://218.77.62.245:10999/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://218.77.62.245:10999/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://218.77.62.245:10999/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://218.77.62.245:10999/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://218.77.62.245:10999/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电视剧,http://218.77.62.245:10999/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电影,http://218.77.62.245:10999/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
湖南都市,http://218.77.62.245:10999/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
湖南都市,http://218.77.62.245:10999/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
湖南公共,http://218.77.62.245:10999/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
湖南金鹰卡通,http://218.77.62.245:10999/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://218.77.62.245:10999/tsfile/live/0002_2.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://218.77.62.245:10999/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
